"k.vec" "diffStat.vec"
0.07 2.15539586546674
0.07 1.37076515739002
0.14 0.316789240087377
0.06 1.29663445611143
0.09 2.95863876159753
0.04 2.01950406559279
0.1 1.16946852220257
0.13 2.77152452392714
0.06 2.22974815178298
0.15 0.876246570062749
0.11 1.19012941674691
0.05 4.15999451684639
0.11 0.846749972142415
0.06 2.03090805416802
0.01 1.78598017893924
0.13 1.38577085793486
0.06 3.11946460885381
0.07 1.48622242329688
0.02 3.2556926067159
0.13 0.949931235942292
0.07 1.78430874007771
0.06 3.52558891321216
0.05 1.21460596743513
0.07 1.52630352719633
0.03 4.16538610105972
0.09 1.46133326598684
0.06 3.26246145655113
0.06 1.92041925966554
0.05 2.73164590290691
0.02 3.12613508257319
0.07 1.84093040295085
0.05 1.83426470477108
0.09 0.531364740698722
0.06 3.83523681137516
0.07 2.44106959970791
0.07 0.6884570710923
0.03 3.0046596816569
0.07 3.7141329474401
0.03 2.72026388181386
0.1 0.0190353008630073
0.17 0.380419484883886
0.05 3.4585155043609
0.01 1.3192466361381
0.12 2.2733555141263
0.03 3.28682148407301
0.06 3.54888017497058
0.06 0.375155885131952
0.05 2.19234612560158
0.03 1.90466379940282
0.13 0.431604673471414
0.12 0.439245536838401
0.09 0.355621062826328
0.11 2.73594961919837
0.07 2.0070628298155
0.11 1.00625490514412
0.02 2.74260003565141
0.03 3.25859708990328
0.09 0.919373513121868
0.07 0.999937821355462
0.08 2.9474086026639
0.04 1.65061273331385
0.03 3.24090085034534
0.1 0.809328843802594
0.07 0.887649603530057
0.11 0.80462207196853
0.05 3.66871565558672
0.03 3.35030655246555
0.06 0.231053022462253
0.05 3.02832725593614
0.12 0.975998996426691
0.02 0.512459334512953
0.02 3.75203067463243
0.07 1.34361908006295
0.04 1.64132526389128
0.01 2.58192414033872
0.14 -0.205539224571961
0.05 1.30527531747157
0.1 0.778734826881177
0.07 2.43560638240051
0.06 3.16673576518159
0.02 3.78006977786551
0.06 2.79648531433125
0.08 1.63234438411131
0.03 2.94192819341393
0.02 1.16037207436418
0.05 1.6733423916148
0.07 1.3656027990777
0.15 0.267828497847564
0.04 1.39029138372435
0.11 -0.12585361562557
0.06 1.4118586756856
0.21 -0.988622657816875
0.11 1.44016329892068
0.09 1.26451608694829
0.07 2.59409890100609
0.05 1.51989188772351
0.04 1.33804698045258
0.1 0.565990268154146
0.18 -0.230366299867145
0.07 1.07757376870366
0.14 -0.524460265538728
0.2 -0.637354021785967
0.13 0.26973871368931
0.11 2.37319390020312
0.06 1.22357825124382
0.11 1.19222492352531
0.08 1.21532993923915
0.06 2.11749909338233
0.08 1.12478952877204
0.08 0.81377487117426
0.04 2.95940953368968
0.13 0.145299612894553
0.07 3.34996462382987
0.05 4.12578923687615
0.08 1.00198652784574
0.1 1.4829607297471
0.01 3.95775996568065
0.05 1.96216225134732
0.08 0.948680999673869
0.03 1.2991912800156
0.19 0.251919265209575
0.07 1.23845023667974
0.06 2.98247825530253
0.04 3.3799779351354
0.02 2.03280203317512
0.11 2.17063174702052
0.05 2.94135512866141
0.12 2.35127226320323
0.04 3.58019911880394
0.09 2.18322866538892
0.12 1.68924207317358
0.09 2.05526139593445
0.03 3.12327357924225
0.1 2.07965867266524
0.11 1.81113963179089
0.27 -0.748330876436013
0.14 -0.964604558930671
0.04 2.86256063540519
0.06 2.42691299010472
0.08 1.32353602581075
0.08 2.04634832881686
0.14 0.612361712820472
0.08 1.49722431143742
0.07 2.57370066114
0.14 0.992878618712287
0.2 0.363224676984401
0.06 3.23562196886667
0.05 3.08443220542409
0.04 3.13490201817888
0.12 1.14678470908183
0.04 2.56151157385381
0.12 0.690951812981621
0.08 1.92067427348042
0.05 1.68455153817417
0.13 -0.509402989166159
0.04 1.79977289242458
0.15 0.850869352605143
0.05 1.62643035586526
0.07 2.39217858034632
0.02 3.09319723081395
0.09 2.82144705984327
0.02 3.75642512617637
0.04 2.34547475812353
0.05 2.47718223019613
0.07 2.84065045970036
0.05 0.667946128491543
0.03 1.17860603968157
0.1 0.215170532846049
0.17 0.265487528333503
0.14 -0.240905915773983
0.05 3.36056059110404
0.04 2.41403813533135
0.03 3.14406150314006
0.1 2.68050655949959
0.08 0.733798909419924
0.05 3.1526794419101
0.04 2.44066558905738
0.04 3.54082097433425
0.06 1.64357454304493
0.07 2.08880478611553
0.03 2.96274477054937
0.07 0.716164751876838
0.11 2.3300488100935
0.09 0.381998278277089
0.17 -1.19577792499095
0.09 1.85353114175094
0.04 3.44566070685387
0.14 0.208351062291013
0.03 2.44021859855041
0.07 1.92985095038417
0.08 2.74039373635419
0.11 1.65130996209609
0.14 0.255965102362395
0.03 3.42991957320995
0.07 -0.339365126013062
0.05 1.77675670174737
0.06 1.8354509488088
0.07 1.63771877638206
0.03 3.5474580192764
0.02 2.83491790195927
0.06 2.50196823585072
0.02 1.95454526567835
0.04 2.22249888266355
0.05 2.45126155633155
0.05 3.61436141891774
0.13 1.03123670792248
0.07 2.15027648701086
0.07 1.73809488821833
0.07 0.733743513160513
0.09 1.46324730226027
0.08 2.4844286339918
0.01 1.53629873158827
0.13 0.0619865040646853
0.06 2.32879188806963
0.09 1.59604550757851
0.13 0.289597317580111
0.03 2.07762142747002
0.1 0.994301729514388
0.11 0.908227403685275
0.04 2.36165142097936
0.12 0.424708794282707
0.05 3.28305835886477
0.06 2.40792066909815
0.12 1.27170995980831
0.06 1.9189302464169
0.06 1.95146504263353
0.02 3.82961122572122
0.05 3.68394389627713
0.07 2.36666191713226
0.07 1.70391062062235
0.07 2.23797927184507
0.13 -0.158906080335316
0.03 2.42604575211257
0.05 0.493488980988565
0.02 2.48486416320372
0.08 2.02438466706846
0.07 1.23211405073266
0.11 0.439434648206734
0.04 3.00090992795955
0.02 2.76298299379077
0.06 2.65224491612094
0.1 1.12046766543008
0.07 2.86442214074297
0.04 3.5123625787239
0.01 4.30905152430166
0.04 1.40301342123039
0.16 0.101590054003702
0.12 1.6720109711731
0.08 0.638539310715771
0.15 1.06926719511582
0.05 1.47964746036959
0.06 0.140433338037703
0.17 0.244493301124784
0.06 1.50261971608243
0.06 3.04491270498211
0.12 -0.191651955402462
0.03 2.56251443717073
0.07 3.09635768292412
0.07 1.14848957672059
0.08 2.23483792189331
0.08 0.967658038953703
0.12 2.22138140639613
0.08 1.79674615542333
0.13 0.691676739893564
0.04 2.92444685313819
0.03 2.44314791454373
0.09 2.40990442824981
0.15 -0.943657132010075
0.11 1.44391305261803
0.1 0.391034554316473
0.06 2.81291221546235
0.07 1.74271187990783
0.02 2.70636324113347
0.08 2.90737238883673
0.09 3.11413319643949
0.09 0.996590168092801
0.05 1.52545252603883
0.02 3.96342089032767
0.11 1.07153366621206
0.07 0.653068412408098
0.05 2.94110966592574
0.16 -0.0712835245664673
0.04 2.46752799933194
0.05 1.65493173133204
0.1 0.751628864086789
0.07 2.0385985831469
0.05 3.6197453622677
0.11 -0.131437176530997
0.05 1.32535932683169
0.09 1.25615984774857
0.07 1.55553747043843
0.11 -0.151397021861409
0.07 2.10381908263166
0.16 0.718915462688953
0.09 1.44603434731029
0.03 1.78819889463943
0.08 2.48726816984056
0.05 3.59921531750853
0.06 1.11254409011852
0.14 -0.434784227740001
0.06 2.44992536035025
0.01 3.60528884877736
0.07 1.73070044269493
0.04 2.54747244252489
0.05 3.39654237180711
0.13 1.10064535564028
0.07 1.47895596223487
0.04 2.75495053617623
0.27 -2.07258514340326
0.02 4.73283386390112
0.03 2.45337903059212
0.13 0.365160680740012
0.1 2.4642452934079
0.08 1.11232632551256
0.05 1.7882705277335
0.1 1.70277213198067
0.06 1.29310915277548
0.07 1.83806507918823
0.06 1.879011510864
0.07 1.69460691436512
0.09 0.600864123668998
0.11 1.52821947368561
0.05 1.54223759264026
0.03 3.19378060106905
0.02 3.61098129198577
0.05 3.01711906448469
0.08 -0.0952997132368296
0.15 0.501950282059583
0.12 1.30731924842224
0.15 1.09018405858295
0.05 3.26973364826066
0 2.07986402086823
0.05 2.17559353266945
0.08 1.861738384115
0.05 1.9814802641549
0.1 0.970962712359925
0.06 3.89927202193012
0.04 3.82536099547333
0.09 2.30255602859116
0.05 2.29949490770476
0.05 2.02105707107213
0.06 3.06258888727371
0.1 2.1022421994543
0.09 1.32639943935752
0.18 -0.381350715106737
0.04 2.99126238285081
0.02 1.27014740324976
0.04 1.37729523024503
0.12 0.814629692763442
0.06 0.720883940113873
0.1 1.64318772433698
0.03 4.01127657270303
0.04 3.40028161931733
0.07 1.54510864705041
0.1 1.30955706628084
0.12 2.63455249699468
